,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
0,1672531260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
1,1672534860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
2,1672538460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
3,1672542060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
4,1672545660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1283,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
5,1672549260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1287,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
6,1672552860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
7,1672556460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1289,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
8,1672560060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1294,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
9,1672563660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1292,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
10,1672567260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1293,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
11,1672570860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1293,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
12,1672574460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1297,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
13,1672578060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1293,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
14,1672581660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1294,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
15,1672585260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
16,1672588860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1306,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
17,1672592460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1306,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
18,1672596060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1306,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
19,1672599660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1307,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
20,1672603260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1314,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
21,1672606860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1316,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
22,1672610460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
23,1672614060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1317,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
24,1672617660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
25,1672621260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
26,1672624860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
27,1672628460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
28,1672632060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1328,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
29,1672635660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
30,1672639260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
31,1672642860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
32,1672646460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
33,1672650060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1351,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
34,1672653660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1347,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
35,1672657260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1349,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
36,1672660860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
37,1672664460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
38,1672668060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
39,1672671660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
40,1672675260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
41,1672678860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1358,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
42,1672682460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1358,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
43,1672686060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1366,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
44,1672689660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
45,1672693260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
46,1672696860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1366,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
47,1672700460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
48,1672704060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
49,1672707660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
50,1672711260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1345,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
51,1672714860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
52,1672718460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
53,1672722060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
54,1672725660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
55,1672729260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
56,1672732860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
57,1672736460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1351,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
58,1672740060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
59,1672743660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
60,1672747260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1352,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
61,1672750860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
62,1672754460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
63,1672758060000.0,0.0,0.0,63.9,0.134,0.0,0.0,0.1336,1.0,1.0,999.14400609,1000.0,999.1184460899999,1000.0,0.008569935812864903,0.0
64,1672761660000.0,0.0,0.0,789.9,0.13390808963159892,0.0,0.0,0.1335,1.0,1.0,999.04679469,1000.0,998.7244446899999,1000.0,0.10587492053645116,0.0
65,1672765260000.0,0.0,0.0,789.9,0.13390808963159892,0.0,0.0,0.1325,1.0,1.0,999.04679469,1000.0,997.9345446899999,1000.0,0.10587492053645116,0.0
66,1672768860000.0,0.0,0.0,789.9,0.13390808963159892,0.0,0.0,0.1322,1.0,1.0,999.04679469,1000.0,997.69757469,1000.0,0.10587492053645116,0.0
67,1672772460000.0,0.0,0.0,789.9,0.13390808963159892,0.0,0.0,0.133,1.0,1.0,999.04679469,1000.0,998.3294946899999,1000.0,0.10587492053645116,0.0
68,1672776060000.0,0.0,0.0,789.9,0.13390808963159892,0.0,0.0,0.1326,1.0,1.0,999.04679469,1000.0,998.0135346899999,1000.0,0.10587492053645116,0.0
69,1672779660000.0,0.0,0.0,62.7,0.13390808963159892,0.0,0.0,0.1328,1.0,1.0,998.1444197499012,1000.0,998.0749425299999,1000.0,0.00841164570353957,0.0
70,1672783260000.0,0.0,0.0,62.7,0.13390808963159892,0.0,0.0,0.1331,1.0,1.0,998.1444197499012,1000.0,998.09375253,1000.0,0.00841164570353957,0.0
71,1672786860000.0,0.0,0.0,62.7,0.13390808963159892,0.0,0.0,0.1331,1.0,1.0,998.1444197499012,1000.0,998.09375253,1000.0,0.00841164570353957,0.0
72,1672790460000.0,0.0,0.0,62.7,0.13390808963159892,0.0,0.0,0.1336,1.0,1.0,998.1444197499012,1000.0,998.1251025299999,1000.0,0.00841164570353957,0.0
73,1672794060000.0,0.0,0.0,62.7,0.13390808963159892,0.0,0.0,0.1341,1.0,1.0,998.1444197499012,1000.0,998.1564525299999,1000.0,0.00841164570353957,0.0
74,1672797660000.0,0.0,0.0,62.7,0.13390808963159892,0.0,0.0,0.1364,1.0,1.0,998.1444197499012,1000.0,998.30066253,1000.0,0.00841164570353957,0.0
75,1672801260000.0,0.0,0.0,62.7,0.13390808963159892,0.0,0.0,0.1378,1.0,1.0,998.1444197499012,1000.0,998.3884425299999,1000.0,0.00841164570353957,0.0
76,1672804860000.0,0.0,0.0,62.7,0.13390808963159892,0.0,0.0,0.1388,1.0,1.0,998.1444197499012,1000.0,998.45114253,1000.0,0.00841164570353957,0.0
77,1672808460000.0,0.0,0.0,62.7,0.13390808963159892,0.0,0.0,0.1384,1.0,1.0,998.1444197499012,1000.0,998.42606253,1000.0,0.00841164570353957,0.0
78,1672812060000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.139,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
79,1672815660000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.1398,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
80,1672819260000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.1395,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
81,1672822860000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.1394,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
82,1672826460000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.1394,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
83,1672830060000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.1388,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
84,1672833660000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.1382,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
85,1672837260000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.138,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
86,1672840860000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.1389,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
87,1672844460000.0,0.0,0.0,0.0,0.13390808963159892,0.0,0.0,0.1381,1.0,1.0,998.45496723,1000.0,998.45496723,1000.0,0.0,0.0
88,1672848060000.0,0.0,0.0,67.9,0.1365,0.0,0.0,0.1383,1.0,1.0,998.32342104,1000.0,998.4456410399999,1000.0,0.009283915216919113,0.0
89,1672851660000.0,0.0,0.0,67.9,0.1365,0.0,0.0,0.1378,1.0,1.0,998.32342104,1000.0,998.4116910399999,1000.0,0.009283915216919113,0.0
90,1672855260000.0,0.0,0.0,67.9,0.1365,0.0,0.0,0.1374,1.0,1.0,998.32342104,1000.0,998.38453104,1000.0,0.009283915216919113,0.0
91,1672858860000.0,0.0,0.0,67.9,0.1365,0.0,0.0,0.1374,1.0,1.0,998.32342104,1000.0,998.38453104,1000.0,0.009283915216919113,0.0
92,1672862460000.0,0.0,0.0,774.2,0.13649999999999998,0.0,0.0,0.1355,1.0,1.0,998.22701109,1000.0,997.4528110900001,1000.0,0.10586599924260319,0.0
93,1672866060000.0,0.0,0.0,782.2,0.13501843518281767,0.0,0.0,0.1347,1.0,1.0,996.7434774100001,1000.0,996.4943974100001,1000.0,0.10595646963692928,0.0
94,1672869660000.0,0.0,0.0,782.2,0.13501843518281767,0.0,0.0,0.1353,1.0,1.0,996.7434774100001,1000.0,996.9637174100001,1000.0,0.10595646963692928,0.0
95,1672873260000.0,0.0,0.0,782.2,0.13501843518281767,0.0,0.0,0.1363,1.0,1.0,996.7434774100001,1000.0,997.7459174100001,1000.0,0.10595646963692928,0.0
96,1672876860000.0,0.0,0.0,782.2,0.13501843518281767,0.0,0.0,0.1374,1.0,1.0,996.7434774100001,1000.0,998.6063374100002,1000.0,0.10595646963692928,0.0
97,1672880460000.0,0.0,0.0,782.2,0.13501843518281767,0.0,0.0,0.1372,1.0,1.0,996.7434774100001,1000.0,998.4498974100001,1000.0,0.10595646963692928,0.0
98,1672884060000.0,0.0,0.0,782.2,0.13501843518281767,0.0,0.0,0.1375,1.0,1.0,996.7434774100001,1000.0,998.6845574100001,1000.0,0.10595646963692928,0.0
